62017CO0441(02),Order of the Court (Grand Chamber) of 20 November 2017,Grand Chamber,European Commission v Republic of Poland,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-441/17 R,ECLI identifier: ECLI:EU:C:2017:877,20/07/2017,20/11/2017,Poland,Tizzano,Wathelet,ENV
62013CO0592,Order of the Court (Eighth Chamber) of 6 October 2015,Eighth Chamber,Ministero dell'Ambiente e della Tutela del Territorio e del Mare and Others v Ediltecnica SpA,Request for a preliminary ruling from the Consiglio di Stato,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court — Article 191(2) TFEU — Directive 2004/35/EC — Environmental liability — National legislation under which no provision is made for the administrative authorities to require owners of polluted land who have not contributed to that pollution to carry out preventive and remedial measures; and the sole obligation imposed concerns the reimbursement of the measures undertaken by those authorities — Whether compatible with the ‘polluter pays’ principle; the precautionary principle and the principles that preventive action should be taken and that environmental damage should be rectified at source as a matter of priority,Case C-592/13,ECLI identifier: ECLI:EU:C:2015:679,20/11/2013,06/10/2015,Italy,Toader,Kokott,ENV
62014CO0254,Order of the Court (Seventh Chamber) of 5 November 2014,Seventh Chamber,  VG Vodoopskrba d,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-254/14,ECLI identifier: ECLI:EU:C:2014:2354,26/05/2014,05/11/2014,Croatia,Bonichot,Sharpston,ENV
62013CO0288,Order of the Court (Eighth Chamber) of 4 September 2014,Eighth Chamber,Rütgers Germany GmbH and Others v European Chemicals Agency (ECHA),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑288/13 P,ECLI identifier: ECLI:EU:C:2014:2176,16/05/2013,04/09/2014,Germany; Czech Republic; Spain; Belgium,Fernlund,Jääskinen,ENV
62013CO0289,Order of the Court (Eighth Chamber) of 4 September 2014,Eighth Chamber,Cindu Chemicals BV and Others v European Chemicals Agency (ECHA),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑289/13 P,ECLI identifier: ECLI:EU:C:2014:2175,16/05/2013,04/09/2014,United Kingdom; Czech Republic; Netherlands; Denmark,Fernlund,Jääskinen,ENV
62013CO0290,Order of the Court (Eighth Chamber) of 4 September 2014,Eighth Chamber,Rütgers Germany GmbH and Others v European Chemicals Agency (ECHA),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑290/13 P,ECLI identifier: ECLI:EU:C:2014:2174,16/05/2013,04/09/2014,Czech Republic; Germany; United Kingdom; Belgium; Denmark,Fernlund,Jääskinen,ENV
62013CO0287,Order of the Court (Eighth Chamber) of 22 May 2014,Eighth Chamber,  Bilbaína de Alquitranes SA and Others v European Chemicals Agency (ECHA),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-287/13 P,ECLI identifier: ECLI:EU:C:2014:599,16/05/2013,22/05/2014,Belgium; Denmark; Netherlands; Spain; Czech Republic; United Kingdom; Poland; Germany,Fernlund,Jääskinen,ENV
62013CO0329,Order of the Court (Ninth Chamber); 8 May 2014,Ninth Chamber,Ferdinand Stefan v Bundesministerium für Land- und Forstwirtschaft; Umwelt und Wasserwirtschaft,Request for a preliminary ruling from the Unabhängiger Verwaltungssenat Wien,Article 99 of the Rules of Procedure — Directive 2003/4/EC — Validity — Public access to environmental information — Exception to the obligation to disclose environmental information where the disclosure compromises the ability of any person to receive a fair trial — Optional nature of that exception for Member States — Article 6 TEU — Second paragraph of Article 47 of the Charter,Case C‑329/13,ECLI identifier: ECLI:EU:C:2014:815,17/06/2013,08/05/2014,Austria,Prechal,Jääskinen,ENV
62013CO0199,Order of the Court (Eighth Chamber) of 27 March 2014,Eighth Chamber,  Polyelectrolyte Producers Group and Others v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-199/13 P,ECLI identifier: ECLI:EU:C:2014:205,09/04/2013,27/03/2014,France; Belgium,Fernlund,Jääskinen,ENV
62012CO0542,Order of the Court (Ninth Chamber) of 8 May 2013,Ninth Chamber,  Criminal proceedings against Giorgio Fidenato,  Reference for a preliminary ruling: Tribunale di Pordenone - Italy,  Article 99 of the Rules of Procedure - Directive 2002/53/EC - Common catalogue of varieties of agricultural plant species - Genetically modified organisms (GMOs) entered in the common catalogue - Regulation (EC) No 1829/2003 - Article 20 - Existing products - Directive 2001/18/EC - Article 26a - Measures to avoid the accidental presence of genetically modified organisms,  Case C-542/12,ECLI identifier: ECLI:EU:C:2013:298,28/11/2012,08/05/2013,Italy,Prechal,Bot,ENV
62012CO0240,Order of the Court (First Chamber) of 14 March 2013,First Chamber,EBS Le Relais Nord-Pas-de-Calais,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑240/12,ECLI identifier: ECLI:EU:C:2013:173,18/05/2012,14/03/2013,Netherlands,Borg Barthet,Jääskinen,ENV
62011CO0647,Order of the Court (Fourth Chamber) of 29 November 2012,Fourth Chamber,  Dimos Peramatos v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-647/11 P,ECLI identifier: ECLI:EU:C:2012:764,14/12/2011,29/11/2012,Greece,Bonichot,Wathelet,ENV
62011CO0407,Order of the Court (Seventh Chamber) of 12 July 2012,Seventh Chamber,Government of Gibraltar v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑407/11 P,ECLI identifier: ECLI:EU:C:2012:464,01/08/2011,12/07/2012,,von Danwitz,Mazák,ENV
62011CO0372,Order of the Court (Fifth Chamber) of 12 July 2012,Fifth Chamber,Power-One Italy SpA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑372/11 P,ECLI identifier: ECLI:EU:C:2012:462,14/07/2011,12/07/2012,Italy,Kasel,Sharpston,ENV
62009CO0177,Order of the Court (Fourth Chamber) of 17 November 2011,Fourth Chamber,  Le Poumon vert de la Hulpe ASBL and Others v Région wallonne,  References for a preliminary ruling: Conseil d'État - Belgium,  Assessment of the effects of projects on the environment - Directive 85/337/EEC - Scope - Concept of 'specific act of national legislation' - Aarhus Convention - Access to justice in environmental matters - Extent of the right to a review procedure in respect of a legislative act,  Joined cases C-177/09 to C-179/09,ECLI identifier: ECLI:EU:C:2011:738,15/05/2009,17/11/2011,Belgium,Bonichot,Sharpston,ENV
62010CO0605,Order of the President of the Court of 27 October 2011,,  Inuit Tapiriit Kanatami and Others v European Parliament and Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-605/10 P(R),ECLI identifier: ECLI:EU:C:2011:710,15/12/2010,27/10/2011,Norway; Provisional data; Canada,Skouris,,ENV
62010CO0540,Order of the Court (Eighth Chamber) of 10 March 2011,Eighth Chamber,  Transportes y Excavaciones J, Asensi SL v Kingdom of Spain,  Action brought by a natural or legal person against a Member State - Clear lack of jurisdiction of the Court,  Case C-540/10,ECLI identifier: ECLI:EU:C:2011:145,19/11/2010,10/03/2011,Spain,Jarašiūnas,Sharpston,ENV
62008CO0517,Order of the Court (Second Chamber) of 15 April 2010,Second Chamber,  Makhteshim-Agan Holding BV and Others v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-517/08 P,ECLI identifier: ECLI:EU:C:2010:190,19/11/2008,15/04/2010,Greece; Germany; Netherlands; Spain,Lindh,Trstenjak,ENV
62009CO0408,Order of the Court (Seventh Chamber) of 12 February 2010,Seventh Chamber,  Município de Barcelos v Estado português,  Reference for a preliminary ruling: Município de Barcelos - Portugal,  Definition of ‘national jurisdiction’ - Manifest lack of jurisdiction,  Case C-408/09,ECLI identifier: ECLI:EU:C:2010:77,23/10/2009,12/02/2010,Portugal,Šváby,Kokott,ENV
62008CO0478,Order of the Court (Eighth Chamber) of 9 March 2010,Eighth Chamber,  Buzzi Unicem SpA and Others v Ministero dello Sviluppo economico and Others (C-478/08) and Dow Italia Divisione Commerciale SrI v Ministero Ambiente e Tutela deI Territorio e deI Mare and Others (C-479/08),  References for a preliminary ruling: Tribunale amministrativo regionale della Sicilia - Italy,  First subparagraph of Article 104(3) of the Rules of Procedure - 'Polluter pays' principle - Directive 2004/35/EC - Environmental liability - Applicability ratione temporis - Pollution occurring before the date laid down for implementation of that directive and continuing after that date - National legislation imposing liability on a number of undertakings for the costs of remedying the damage connected with such pollution - Requirement for fault or negligence - Requirement for a causal link - Remedial measures - Duty to consult the undertakings concerned - Annex II to the directive ,  Joined cases C-478/08 and C-479/08,ECLI identifier: ECLI:EU:C:2010:129,06/11/2008,09/03/2010,Italy,Toader,Kokott,ENV
62009CO0024,Order of the Court (Fourth Chamber) of 11 March 2010,Fourth Chamber,Djurgården-Lilla Värtans Miljöskyddsförening v AB Fortum Värme samägt med Stockholms stad,Reference for a preliminary ruling: Högsta domstolen - Sweden,First subparagraph of Article 104(3) of the Rules of Procedure - Directive 85/337/EC - Assessment of the effects of certain public and private projects on the environment - Directive 96/61 - Integrated pollution prevention and control - Public participation in the decision-making process for environmental matters - Right of appeal against decisions authorising projects liable to have significant effects on the environment,Case C-24/09,ECLI identifier: ECLI:EU:C:2010:138,19/01/2009,11/03/2010,Sweden,Bonichot,Sharpston,ENV
62008CO0573,Order of the President of the Court of 10 December 2009,,  European Commission v Italian Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-573/08 R,ECLI identifier: ECLI:EU:C:2009:775,20/11/2009,10/12/2009,Italy,Šváby,Sharpston,ENV
62008CO0391,Order of the President of the Court of 15 December 2009,,  Dow Agrosciences Ltd and Others v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-391/08 P(R),ECLI identifier: ECLI:EU:C:2009:785,02/09/2008,15/12/2009,France; Denmark; Portugal; Italy; Provisional data; Netherlands; Spain; Czech Republic; United Kingdom; Germany; Poland; United States,Skouris,Trstenjak,ENV
62008CO0501,Order of the Court (Fifth Chamber) of 24 September 2009,Fifth Chamber,  Município de Gondomar v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-501/08 P,ECLI identifier: ECLI:EU:C:2009:580,18/11/2008,24/09/2009,Portugal,Kasel,Mengozzi,ENV
62008CO0421,Order of the Court (Sixth Chamber) of 23 September 2009,Sixth Chamber,  Calebus SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-421/08 P,ECLI identifier: ECLI:EU:C:2009:575,24/09/2008,23/09/2009,Spain,Bay Larsen,Kokott,ENV
62008CO0415,Order of the Court (Sixth Chamber) of 23 September 2009,Sixth Chamber,  Complejo Agrícola; SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-415/08 P,ECLI identifier: ECLI:EU:C:2009:574,18/09/2008,23/09/2009,Spain,Bay Larsen,Kokott,ENV
62008CO0498,Order of the Court (Sixth Chamber) of 9 July 2009,Sixth Chamber,  Fornaci Laterizi Danesi SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-498/08 P,ECLI identifier: ECLI:EU:C:2009:447,12/11/2008,09/07/2009,Italy,Bay Larsen,Kokott,ENV
62008CO0454,Order of the Court (Sixth Chamber) of 20 May 2009,Sixth Chamber,  Seaport Investments Limited v Department of the Environment for Northern Ireland,  Reference for a preliminary ruling: Court of Appeal (Northern Ireland) - United Kingdom,  Reference for a preliminary ruling - Inadmissibility,  Case C-454/08,ECLI identifier: ECLI:EU:C:2009:331,16/10/2008,20/05/2009,United Kingdom,Toader,Bot,ENV
62007CO0374,Order of the Court (Sixth Chamber) of 20 January 2009,Sixth Chamber,  Mebrom NV v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-374/07 P,ECLI identifier: ECLI:EU:C:2009:20,01/08/2007,20/01/2009,Belgium,Bonichot,Poiares Maduro,ENV
62007CO0277,Order of the President of the Court of 17 July 2008,,  Makhteshim-Agan Holding BV; Makhteshim-Agan Italia Srl and Magan Italia Srl v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-277/07 P(R),ECLI identifier: ECLI:EU:C:2008:430,12/06/2007,17/07/2008,Italy; Netherlands,Skouris,Trstenjak,ENV
62007CO0156,Order of the Court (Sixth Chamber) of 10 July 2008,Sixth Chamber,  Salvatore Aiello and Others v Regione Lombardia and Others,  Reference for a preliminary ruling: Consiglio di Stato - Italy,  Reference for a preliminary ruling - Directive 85/337/EEC - Assessment of the effects of certain public and private projects on the environment - Construction of a road in Milan,  Case C-156/07,ECLI identifier: ECLI:EU:C:2008:398,21/03/2007,10/07/2008,Italy,Bonichot,Mazák,ENV
62008CO0006,Order of the Court (Sixth Chamber) of 19 June 2008,Sixth Chamber,  US Steel Košice s,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-6/08 P,ECLI identifier: ECLI:EU:C:2008:356,26/12/2007,19/06/2008,Slovakia,Toader,Ruiz-Jarabo Colomer,ENV
62008CO0076,Order of the President of the Court of 24 April 2008,,European Commission v Republic of Malta,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-76/08 R,ECLI identifier: ECLI:EU:C:2008:252,21/02/2008,24/04/2008,Malta,Bonichot,Poiares Maduro,ENV
62007CO0503,Order of the Court (Sixth Chamber) of 8 April 2008,Sixth Chamber,  Saint-Gobain Glass Deutschland GmbH v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-503/07 P,ECLI identifier: ECLI:EU:C:2008:207,14/11/2007,08/04/2008,Germany,Toader,Mazák,ENV
62006CO0459,Order of the President of the Court of 3 April 2007,,  Vischim Srl v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-459/06 P(R),ECLI identifier: ECLI:EU:C:2007:209,13/11/2006,03/04/2007,Italy,,Kokott,ENV
62006CO0503(01),Order of the President of the Court of 27 February 2007,,  Commission of the European Communities v Italian Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-503/06 R,ECLI identifier: ECLI:EU:C:2007:120,13/12/2006,27/02/2007,Italy,Bonichot,Kokott,ENV
62006CO0503,Order of the President of the Court of 19 December 2006,,  Commission of the European Communities v Italian Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-503/06 R,ECLI identifier: ECLI:EU:C:2006:800,13/12/2006,19/12/2006,Italy,Bonichot,Kokott,ENV
62005CO0026,Order of the Court (Third Chamber) of 16 February 2006,Third Chamber,  Plato Plastik Robert Frank GmbH v Caropack Handelsgesellschaft mbH,  Reference for a preliminary ruling: Landesgericht Korneuburg - Austria,  Second paragraph of Article 104(3) of the Rules of Procedure - Directive 94/62/EC - Packaging and packaging waste - Concepts of producer of packaging and producer of packaging materials - producer of plastic carrier bags,  Case C-26/05,ECLI identifier: ECLI:EU:C:2006:114,27/01/2005,16/02/2006,Austria,Rosas,Léger,ENV
62003CO0320(02),Order of the President of the Court of 27 April 2004,,  Commission of the European Communities v Republic of Austria,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-320/03 R,ECLI identifier: ECLI:EU:C:2004:231,25/07/2003,27/04/2004,Austria,Schintgen,Geelhoed,ENV
62002CO0235,Order of the Court (Third Chamber) of 15 January 2004,Third Chamber,  Criminal proceedings against Marco Antonio Saetti and Andrea Frediani,  Reference for a preliminary ruling: Tribunale di Gela - Italy,  Article 104(3) of the Rules of Procedure - Directives 75/442/EEC and 91/156/EEC - Waste management - Definition of waste - Petroleum coke,  Case C-235/02,ECLI identifier: ECLI:EU:C:2004:26,26/06/2002,15/01/2004,Italy,Puissochet,Kokott,ENV
62003CO0320(01),Order of the President of the Court of 2 October 2003,,  Commission of the European Communities v Republic of Austria,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-320/03 R,ECLI identifier: ECLI:EU:C:2003:543,25/07/2003,02/10/2003,Austria,Schintgen,Geelhoed,ENV
62003CO0320,Order of the President of the Court of 30 July 2003,,  Commission of the European Communities v Republic of Austria,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-320/03 R,ECLI identifier: ECLI:EU:C:2003:423,25/07/2003,30/07/2003,Austria,Schintgen,Geelhoed,ENV
62000CO0307,Order of the Court (Fifth Chamber) of 27 February 2003,Fifth Chamber,  Oliehandel Koeweit BV and Others v Minister van Volkshuisvesting; Ruimtelijke Ordening en Milieubeheer,  Reference for a preliminary ruling: Raad van State - Netherlands,  Article104(3) of the Rules of Procedure - Environment - Directive 75/442/EEC on waste - Regulation (EEC) No259/93 concerning the shipment of waste - Directive 75/439/EEC on the disposal of waste oils - Classification - Waste disposal and recovery operations - Objections to shipments - Legal basis - Illegal shipments,  Joined cases C-307/00 to C-311/00,ECLI identifier: ECLI:EU:C:2003:108,16/08/2000,27/02/2003,Netherlands,La Pergola,Léger,ENV
62000CO0374,Order of the Court (Sixth Chamber) of 23 October 2002,Sixth Chamber,  Commission of the European Communities v Hellenic Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-374/00,ECLI identifier: ECLI:EU:C:2002:606,11/10/2000,23/10/2002,Greece,Puissochet,Alber,ENV
62001CO0120,Order of the President of the Fifth Chamber of the Court of 9 September 2002,,  Commission of the European Communities v Ireland,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-120/01,ECLI identifier: ECLI:EU:C:2002:471,16/03/2001,09/09/2002,Ireland,Timmermans,Mischo,ENV
62000CO0116,Order of the Court of 28 June 2000,,  Criminal proceedings against Claude Laguillaumie,  Reference for a preliminary ruling: Cour d'appel de Paris - France,  Preliminary rulings - Inadmissibility,  Case C-116/00,ECLI identifier: ECLI:EU:C:2000:350,27/03/2000,28/06/2000,France,Sevón,Jacobs,ENV
61994CO0325,Order of the Court (Fourth Chamber) of 11 July 1996,Fourth Chamber,  An Taisce - The National Trust for Ireland and World Wide Fund for Nature UK (WWF) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-325/94 P,ECLI identifier: ECLI:EU:C:1996:293,06/12/1994,11/07/1996,United Kingdom; Ireland,Ragnemalm,La Pergola,ENV
61990CO0195(01),Order of the Court of 12 July 1990,,  Commission of the European Communities v Federal Republic of Germany,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-195/90 R,ECLI identifier: ECLI:EU:C:1990:314,23/06/1990,12/07/1990,Germany,Schockweiler,Jacobs,ENV
61990CO0195,Order of the President of the Court of 28 June 1990,,  Commission of the European Communities v Federal Republic of Germany,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-195/90 R,ECLI identifier: ECLI:EU:C:1990:271,23/06/1990,28/06/1990,Germany,Schockweiler,Jacobs,ENV
61989CO0057,Order of the President of the Court of 16 August 1989,,  Commission of the European Communities v Federal Republic of Germany,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-57/89 R,ECLI identifier: ECLI:EU:C:1989:334,14/07/1989,16/08/1989,Germany,Díez de Velasco,Van Gerven,ENV
