62016CJ0408,Judgment of the Court (Eighth Chamber) of 6 December 2017,Eighth Chamber,Compania Naţională de Administrare a Infrastructurii Rutiere SA v Ministerul Fondurilor Europene - Direcţia Generală Managementul Fondurilor Externe,Request for a preliminary ruling from the Curtea de Apel Bucureşti,Reference for a preliminary ruling — Public procurement — Directive 2004/18/EC — Scope — Regulation (EC) No 1083/2006 — European Regional Development Fund; European Social Fund and Cohesion Fund — Finance agreement for the construction of a motorway concluded with the European Investment Bank before the accession of the Member State to the European Union — Concept of ‘irregularity’ within the meaning of Regulation No 1083/2006,Case C-408/16,ECLI identifier: ECLI:EU:C:2017:940,21/07/2016,06/12/2017,Romania,Šváby,Campos Sánchez-Bordona,FSE
61991CJ0130,Judgment of the Court of 7 March 1995,,  ISAE/VP (Instituto Social de Apoio ao Emprego e à Valorização Profissional) and Interdata (Centro de Processamento de Dados Ldª) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-130/91 REV,ECLI identifier: ECLI:EU:C:1995:60,11/08/1994,07/03/1995,Portugal,Murray,Léger,FSE
61991CJ0199,Judgment of the Court (Sixth Chamber) of 25 May 1993,Sixth Chamber,  Foyer culturel du Sart-Tilman ASBL v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-199/91,ECLI identifier: ECLI:EU:C:1993:205,30/07/1991,25/05/1993,Belgium,Murray,Darmon,FSE
61991CJ0334,Judgment of the Court (Sixth Chamber) of 25 May 1993,Sixth Chamber,  Innovation et Reconversion Industrielle ASBL v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-334/91,ECLI identifier: ECLI:EU:C:1993:211,27/12/1991,25/05/1993,Belgium,Murray,Darmon,FSE
61990CJ0157,Judgment of the Court (Second Chamber) of 4 June 1992,Second Chamber,  Infortec - Projectos e Consultadoria Ldª v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-157/90,ECLI identifier: ECLI:EU:C:1992:243,21/05/1990,04/06/1992,Portugal,Murray,Darmon,FSE
61990CJ0181,Judgment of the Court (Second Chamber) of 4 June 1992,Second Chamber,  Consorgan - Gestão de Empresas Ldª v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-181/90,ECLI identifier: ECLI:EU:C:1992:244,08/06/1990,04/06/1992,Portugal,Murray,Darmon,FSE
61990CJ0189,Judgment of the Court (Second Chamber) of 4 June 1992,Second Chamber,  Cipeke - Comércio e Indústria de Papel Ldª v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-189/90,ECLI identifier: ECLI:EU:C:1992:245,13/06/1990,04/06/1992,Portugal,Murray,Darmon,FSE
61990CJ0303,Judgment of the Court of 13 November 1991,,  French Republic v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-303/90,ECLI identifier: ECLI:EU:C:1991:424,04/10/1990,13/11/1991,France,Kapteyn,Tesauro,FSE
61989CJ0291,Judgment of the Court (Second Chamber) of 7 May 1991,Second Chamber,  Interhotel; Sociedade Internacional de Hoteis SARL v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-291/89,ECLI identifier: ECLI:EU:C:1991:189,21/09/1989,07/05/1991,Portugal,O'Higgins,Darmon,FSE
61989CJ0304,Judgment of the Court (Second Chamber) of 7 May 1991,Second Chamber,  Estabelecimentos Isodoro M, Oliveira SA v Commission of the European Communities,  European Social Fund - Application for annulment of the reduction of financial assistance originally granted,  Case C-304/89,ECLI identifier: ECLI:EU:C:1991:191,05/10/1989,07/05/1991,Portugal,O'Higgins,Darmon,FSE
61989CJ0200,Judgment of the Court (Second Chamber) of 11 October 1990,Second Chamber,  FUNOC v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-200/89,ECLI identifier: ECLI:EU:C:1990:356,26/06/1989,11/10/1990,Belgium,O'Higgins,Tesauro,FSE
61987CJ0213,Judgment of the Court (Second Chamber) of 7 February 1990,Second Chamber,  Gemeente Amsterdam and Stichting Vrouwenvakschool voor Informatica Amsterdam (VIA) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-213/87,ECLI identifier: ECLI:EU:C:1990:48,10/07/1987,07/02/1990,Netherlands,O'Higgins,Tesauro,FSE
61986CJ0263,Judgment of the Court of 27 September 1988,,  Belgian State v René Humbel and Marie-Thérèse Edel,  Reference for a preliminary ruling: Justice de paix de Neufchâteau - Belgium,  Non-discrimination - Access to education - Enrolment fees,  Case 263/86,ECLI identifier: ECLI:EU:C:1988:451,21/10/1986,27/09/1988,Belgium,Bahlmann,Sir Gordon Slynn,FSE
61985CJ0084,Judgment of the Court of 1 October 1987,,  United Kingdom v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 84/85,ECLI identifier: ECLI:EU:C:1987:416,02/04/1985,01/10/1987,United Kingdom,Bahlmann,Cruz Vilaça,FSE
61981CJ0310,Judgment of the Court (First Chamber) of 15 March 1984,First Chamber,  Ente Italiano di Servizio Sociale (EISS) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 310/81,ECLI identifier: ECLI:EU:C:1984:105,08/12/1981,15/03/1984,Italy,O'Keeffe,Mancini,FSE
61981CJ0044,Judgment of the Court of 26 May 1982,,  Federal Republic of Germany and Bundesanstalt für Arbeit v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 44/81,ECLI identifier: ECLI:EU:C:1982:197,20/02/1981,26/05/1982,Germany,Mackenzie Stuart,VerLoren van Themaat,FSE
61971CJ0002,Judgment of the Court of 6 July 1971,,  Federal Republic of Germany v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 2-71,ECLI identifier: ECLI:EU:C:1971:78,14/01/1971,06/07/1971,Germany,Donner,Roemer,FSE
