62016CJ0408,Judgment of the Court (Eighth Chamber) of 6 December 2017,Eighth Chamber,Compania Naţională de Administrare a Infrastructurii Rutiere SA v Ministerul Fondurilor Europene - Direcţia Generală Managementul Fondurilor Externe,Request for a preliminary ruling from the Curtea de Apel Bucureşti,Reference for a preliminary ruling — Public procurement — Directive 2004/18/EC — Scope — Regulation (EC) No 1083/2006 — European Regional Development Fund; European Social Fund and Cohesion Fund — Finance agreement for the construction of a motorway concluded with the European Investment Bank before the accession of the Member State to the European Union — Concept of ‘irregularity’ within the meaning of Regulation No 1083/2006,Case C-408/16,ECLI identifier: ECLI:EU:C:2017:940,21/07/2016,06/12/2017,Romania,Šváby,Campos Sánchez-Bordona,COES
62012CJ0562,Judgment of the Court (Fourth Chamber); 17 September 2014,Fourth Chamber,Liivimaa Lihaveis MTÜ v Eesti-Läti programmi 2007-2013 Seirekomitee,Request for a preliminary ruling from the Tartu ringkonnakohus,Reference for a preliminary ruling — Structural funds — Regulations (EC) Nos 1083/2006 and 1080/2006 — European Regional Development Fund (ERDF) — Operational programme aiming to promote European territorial cooperation between the Republic of Estonia and the Republic of Latvia — Decision of the monitoring committee rejecting a subsidy — Provision that the decisions of that committee cannot be subject to legal review — Article 267 TFEU — Act adopted by an institution; organ or body of the European Union — Charter of Fundamental Rights of the European Union — Implementation of EU law — Article 47 — Right to effective judicial protection — Right of access to the courts — Determination of which Member State’s courts have jurisdiction to rule on an action,Case C‑562/12,ECLI identifier: ECLI:EU:C:2014:2229,05/12/2012,17/09/2014,Estonia,Safjan,Jääskinen,COES
62013CJ0192,Judgment of the Court (First Chamber); 4 September 2014,First Chamber,Kingdom of Spain v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑192/13 P,ECLI identifier: ECLI:EU:C:2014:2156,15/04/2013,04/09/2014,Spain,Biltgen,Wathelet,COES
62013CJ0197,Judgment of the Court (First Chamber); 4 September 2014,First Chamber,Kingdom of Spain v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑197/13 P,ECLI identifier: ECLI:EU:C:2014:2157,16/04/2013,04/09/2014,Spain,Biltgen,Wathelet,COES
62013CJ0410,Judgment of the Court (Second Chamber); 3 September 2014,Second Chamber,‘Baltlanta’ UAB v Lietuvos valstybė,Request for a preliminary ruling from the Vilniaus apygardos administracinis teismas,Reference for a preliminary ruling — Structural funds — Economic; social and territorial cohesion — Regulation (EC) No 1260/1999 — Article 38 — Regulation (EC) No 2792/1999 — Article 19 — Fisheries — Court proceedings at national level — Obligation on the part of the Member State to take the measures necessary to ensure the successful implementation of the decision relating to the grant of funds following court proceedings,Case C‑410/13,ECLI identifier: ECLI:EU:C:2014:2134,19/07/2013,03/09/2014,Lithuania,Lenaerts,Bot,COES
62012CJ0531,Judgment of the Court (First Chamber); 19 June 2014,First Chamber,Commune de Millau and Société d’économie mixte d’équipement de l’Aveyron (SEMEA) v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑531/12 P,ECLI identifier: ECLI:EU:C:2014:2008,23/11/2012,19/06/2014,France,Biltgen,Kokott,COES
62012CJ0388,Judgment of the Court (Fourth Chamber) of 14 November 2013,Fourth Chamber,  Comune di Ancona v Regione Marche,  Reference for a preliminary ruling: Tribunale amministrativo regionale per le Marche - Italy,  Structural Funds - European Regional Development Fund (ERDF) - Financial contribution from a Structural Fund - Criteria for the eligibility of expenditure - Regulation (EC) No 1260/1999 - Article 30(4) - Principle of durability of the operation - ‘Substantial modification’ of an operation - Award of a concession contract without advertisement or a competitive tendering procedure,  Case C-388/12,ECLI identifier: ECLI:EU:C:2013:734,16/08/2012,14/11/2013,Italy,Malenovský,Bot,COES
62012CJ0115,Judgment of the Court (Fourth Chamber) of 26 September 2013,Fourth Chamber,  French Republic v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-115/12 P,ECLI identifier: ECLI:EU:C:2013:596,01/03/2012,26/09/2013,France,Lõhmus,Kokott,COES
62012CJ0191,Judgment of the Court (Seventh Chamber) of 16 May 2013,Seventh Chamber,  Alakor Gabonatermelő és Forgalmazó Kft,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-191/12,ECLI identifier: ECLI:EU:C:2013:315,23/04/2012,16/05/2013,Hungary,Arabadjiev,Bot,COES
62011CJ0246,Judgment of the Court (Third Chamber) of 28 February 2013,Third Chamber,  Portuguese Republic v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-246/11 P,ECLI identifier: ECLI:EU:C:2013:118,16/05/2011,28/02/2013,Portugal,Fernlund,Jääskinen,COES
62011CJ0579,Judgment of the Court (Third Chamber) of 19 December 2012,Third Chamber,  Grande Área Metropolitana do Porto (GAMP) v Comissão Directiva do Programa Operacional Potencial Humano and Others,  Reference for a preliminary ruling: Tribunal Administrativo e Fiscal do Porto - Portugal,  Structural funds - Regulation (EC) No 1083/2006 - Geographical eligibility - Implementation of an investment co-financed by the European Union from a place located outside of the eligible regions and by an operator established in such a place,  Case C-579/11,ECLI identifier: ECLI:EU:C:2012:833,22/11/2011,19/12/2012,Portugal,Ilešič,Wathelet,COES
62010CJ0465,Judgment of the Court (Fourth Chamber) of 21 December 2011,Fourth Chamber,  Ministre de l’Intérieur; de l’Outre-mer; des Collectivités territoriales et de l’Immigration v Chambre de commerce et d'industrie de l'Indre,  Reference for a preliminary ruling: Conseil d'État - France,  Reference for a preliminary ruling - Protection of the European Union’s financial interests - Regulation (EC; Euratom) No 2988/95 - Article 3 - Structural Funds - Regulation (EEC) No 2052/88 - Regulation (EEC) No 4253/88 - Contracting authority in receipt of a subsidy from the Structural Funds - Failure to comply with public procurement rules by the recipient of an ERDF subsidy - Basis for the obligation to recover European Union subsidies in the case of an irregularity - Concept of ‘irregularity’ - Concept of ‘continuous irregularity’ - Conditions for recovery - Limitation period - Longer national limitation periods - Principle of proportionality,  Case C-465/10,ECLI identifier: ECLI:EU:C:2011:867,27/09/2010,21/12/2011,France,Toader,Sharpston,COES
62008CJ0414,Judgment of the Court (Second Chamber) of 25 March 2010,Second Chamber,  Sviluppo Italia Basilicata SpA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-414/08 P,ECLI identifier: ECLI:EU:C:2010:165,19/09/2008,25/03/2010,Italy,Toader,Trstenjak,COES
62007CJ0445,Judgment of the Court (First Chamber) of 10 September 2009,First Chamber,  Commission of the European Communities v Ente per le Ville Vesuviane (C-445/07 P) and Ente per le Ville Vesuviane v Commission of the European Communities (C-455/07 P),Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-445/07 P and C-455/07 P,ECLI identifier: ECLI:EU:C:2009:529,28/09/2007,10/09/2009,Italy,Kasel,Kokott,COES
62006CJ0383,Judgment of the Court (Third Chamber) of 13 March 2008,Third Chamber,  Vereniging Nationaal Overlegorgaan Sociale Werkvoorziening (C-383/06) and Gemeente Rotterdam (C-384/06) v Minister van Sociale Zaken en Werkgelegenheid and Sociaal Economische Samenwerking West-Brabant (C-385/06) v Algemene Directie voor de Arbeidsvoorziening,  Reference for a preliminary ruling: Raad van State - Netherlands,  Structural Funds - Article 23(1) of Council Regulation (EEC) No 4253/88 - Withdrawal and recovery of Community financial aid - Article 249 EC - Protection of legitimate expectations and legal certainty,  Joined cases C-383/06 to C-385/06,ECLI identifier: ECLI:EU:C:2008:165,18/09/2006,13/03/2008,Netherlands,Lindh,Bot,COES
62006CJ0417,Judgment of the Court (Third Chamber) of 29 November 2007,Third Chamber,Italian Republic v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-417/06 P,ECLI identifier: ECLI:EU:C:2007:733,04/10/2006,29/11/2007,Italy,Arabadjiev,Poiares Maduro,COES
62005CJ0427,Judgment of the Court (Fourth Chamber) of 25 October 2007,Fourth Chamber,Agenzia delle Entrate - Ufficio di Genova 1 v Porto Antico di Genova SpA,Reference for a preliminary ruling: Commissione tributaria regionale di Genova - Italy,Structural Funds - Regulation (EEC) No 4253/88 - Second subparagraph of Article 21(3) - Prohibition of deduction - Calculation of taxable income - Taking account of Community grants received,Case C-427/05,ECLI identifier: ECLI:EU:C:2007:630,01/12/2005,25/10/2007,Italy,Arestis,Mazák,COES
62006CJ0158,Judgment of the Court (First Chamber) of 21 June 2007,First Chamber,  Stichting ROM-projecten v Staatssecretaris van Economische Zaken,  Reference for a preliminary ruling: College van Beroep voor het bedrijfsleven - Netherlands,  Structural funds - Repayment of Community aid in the case of irregularity - Failure to publish or make known the conditions of grant of the aid - Beneficiary’s lack of knowledge - Good faith - Legal certainty - Effectiveness -Article 10 EC,  Case C-158/06,ECLI identifier: ECLI:EU:C:2007:370,23/03/2006,21/06/2007,Netherlands,Ilešič,Mazák,COES
62006CJ0015,Judgment of the Court (Fifth Chamber) of 22 March 2007,Fifth Chamber,Regione Siciliana v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-15/06 P,ECLI identifier: ECLI:EU:C:2007:183,04/01/2006,22/03/2007,Italy,Ilešič,Mazák,COES
62005CJ0289,Judgment of the Court (First Chamber) of 8 March 2007,First Chamber,  Länsstyrelsen i Norrbottens län v Lapin liitto,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-289/05,ECLI identifier: ECLI:EU:C:2007:146,19/07/2005,08/03/2007,Finland,Cunha Rodrigues,,COES
62004CJ0084,Judgment of the Court (Second Chamber) of 5 October 2006,Second Chamber,  Commission of the European Communities v Portuguese Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-84/04,ECLI identifier: ECLI:EU:C:2006:640,20/02/2004,05/10/2006,Portugal,Arestis,Ruiz-Jarabo Colomer,COES
62004CJ0417,Judgment of the Court (Grand Chamber) of 2 May 2006,Grand Chamber,  Regione Siciliana v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-417/04 P,ECLI identifier: ECLI:EU:C:2006:282,24/09/2004,02/05/2006,Italy,Ilešič,Ruiz-Jarabo Colomer,COES
62003CJ0046,Judgment of the Court (Second Chamber) of 1 December 2005,Second Chamber,  United Kingdom of Great Britain and Northern Ireland v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-46//03,ECLI identifier: ECLI:EU:C:2005:725,31/01/2003,01/12/2005,United Kingdom,Timmermans,Stix-Hackl,COES
62003CJ0301,Judgment of the Court (Second Chamber) of 1 December 2005,Second Chamber,  Italian Republic v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-301/03,ECLI identifier: ECLI:EU:C:2005:727,02/07/2003,01/12/2005,Italy,Timmermans,Jacobs,COES
62003CJ0138,Judgment of the Court (First Chamber) of 24 November 2005,First Chamber,  Italian Republic v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-138/03; C-324/03 and C-431/03,ECLI identifier: ECLI:EU:C:2005:714,27/03/2003,24/11/2005,Italy,Cunha Rodrigues,Kokott,COES
62001CJ0199,Judgment of the Court (Sixth Chamber) of 29 April 2004,Sixth Chamber,  IPK-München GmbH v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-199/01 P and C-200/01 P,ECLI identifier: ECLI:EU:C:2004:249,14/05/2001,29/04/2004,Germany,Macken,Mischo,COES
62001CJ0271,Judgment of the Court (Sixth Chamber) of 22 January 2004,Sixth Chamber,  Ministero delle Politiche Agricole e Forestali v Consorzio Produttori Pompelmo Italiano Soc,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-271/01,ECLI identifier: ECLI:EU:C:2004:40,09/07/2001,22/01/2004,Italy,Macken,Alber,COES
61999CJ0107,Judgment of the Court (Sixth Chamber) of 30 January 2002,Sixth Chamber,  Italian Republic v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-107/99,ECLI identifier: ECLI:EU:C:2002:59,29/03/1999,30/01/2002,Italy,Puissochet,Mischo,COES
61997CJ0443,Judgment of the Court (Sixth Chamber) of 6 April 2000,Sixth Chamber,  Kingdom of Spain v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-443/97,ECLI identifier: ECLI:EU:C:2000:190,23/12/1997,06/04/2000,Spain,Kapteyn,La Pergola,COES
61997CJ0433,Judgment of the Court (Sixth Chamber) of 5 October 1999,Sixth Chamber,  IPK-München GmbH v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-433/97 P,ECLI identifier: ECLI:EU:C:1999:484,22/12/1997,05/10/1999,Germany,Murray,Mischo,COES
61995CJ0308,Judgment of the Court (Sixth Chamber) of 5 October 1999,Sixth Chamber,  Kingdom of the Netherlands v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-308/95,ECLI identifier: ECLI:EU:C:1999:477,27/09/1995,05/10/1999,Netherlands,Murray,La Pergola,COES
61996CJ0084,Judgment of the Court (Sixth Chamber) of 5 October 1999,Sixth Chamber,  Kingdom of the Netherlands v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-84/96,ECLI identifier: ECLI:EU:C:1999:478,19/03/1996,05/10/1999,Netherlands,Murray,La Pergola,COES
61995CJ0321,Judgment of the Court of 2 April 1998,,  Stichting Greenpeace Council (Greenpeace International) and Others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-321/95 P,ECLI identifier: ECLI:EU:C:1998:153,16/10/1995,02/04/1998,Spain; Netherlands,Moitinho de Almeida,Cosmas,COES
61996CJ0044,Judgment of the Court of 15 January 1998,,  Mannesmann Anlagenbau Austria AG and Others v Strohal Rotationsdruck GesmbH,  Reference for a preliminary ruling: Bundesvergabeamt - Austria,  Public procurement - Procedure for the award of public works contracts - State printing office - Subsidiary pursuing commercial activities,  Case C-44/96,ECLI identifier: ECLI:EU:C:1998:4,14/02/1996,15/01/1998,Austria,Kapteyn,Léger,COES
61990CJ0303,Judgment of the Court of 13 November 1991,,  French Republic v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-303/90,ECLI identifier: ECLI:EU:C:1991:424,04/10/1990,13/11/1991,France,Kapteyn,Tesauro,COES
