source,ruling_title,chamber,ruling_name,ruling_type,ruling_content,case_label,ecli,lodge_date,document_date,country,judge,advocate,main_subject
61986CO0119,Order of the President of the Court of 9 July 1986,,  Kingdom of Spain v Council and Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 119/86 R,ECLI identifier: ECLI:EU:C:1986:300,09/06/1986,09/07/1986,Spain,Koopmans,Darmon,ADH
61986CO0055,Order of the President of the Court of 22 April 1986,,  Asociación Provincial de Armadores de Buques de Pesca de Gran Sol de Pontevedra (Arposol) v Council of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 55/86 R,ECLI identifier: ECLI:EU:C:1986:165,27/02/1986,22/04/1986,Spain,Joliet,Mischo,ADH
61983CO0114,Order of the President of the Court of 12 July 1983,,  Société d'initiatives et de coopération agricole and Société interprofessionnelle des producteurs et expéditeurs de fruits et légumes v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 114/83 R,ECLI identifier: ECLI:EU:C:1983:203,01/07/1983,12/07/1983,France,Bosco,Sir Gordon Slynn,ADH
61981CO0041,Order of the President of the Court of 20 March 1981,,  Metallurgiki Halyps SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 41/81 R,ECLI identifier: ECLI:EU:C:1981:73,20/02/1981,20/03/1981,Greece,Pescatore,Reischl,ADH
62012CO0546(01),Order of the Court (Tenth Chamber) of 14 June 2017,Tenth Chamber,Community Plant Variety Office v Ralf Schräder,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-546/12 P-DEP,ECLI identifier: ECLI:EU:C:2017:460,17/10/2016,14/06/2017,Germany,Levits,Sharpston,AGRI
62016CO0176,Order of the Court (Eighth Chamber) of 6 April 2017,Eighth Chamber,Proforec Srl v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-176/16 P,ECLI identifier: ECLI:EU:C:2017:290,23/03/2016,06/04/2017,Italy,Vilaras,Wathelet,AGRI
62016CO0446,Order of the Court (Ninth Chamber) of 7 February 2017,Ninth Chamber,Kohrener Landmolkerei GmbH and DHG Deutsche Heumilchgesellschaft mbH v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-446/16 P,ECLI identifier: ECLI:EU:C:2017:110,09/08/2016,07/02/2017,Germany,Lycourgos,Tanchev,AGRI
62016CO0280,Order of the Court (Sixth Chamber) of 12 January 2017,Sixth Chamber,Amrita Soc,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-280/16 P,ECLI identifier: ECLI:EU:C:2017:9,12/05/2016,12/01/2017,Italy,Regan,Bot,AGRI
62012CO0546,Order of the Court (Tenth Chamber) of 20 July 2016,Tenth Chamber,Jørn Hansson v Ralf Schräder,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-546/12 P-DEP,ECLI identifier: ECLI:EU:C:2016:594,10/02/2016,20/07/2016,Germany,Levits,Sharpston,AGRI
62016CO0134(01),Order of the Vice-President of the Court of 14 June 2016,,Chemtura Netherlands BV v European Food Safety Authority,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-134/16 P(R),ECLI identifier: ECLI:EU:C:2016:442,04/03/2016,14/06/2016,Netherlands,Tizzano,Wathelet,AGRI
62015CO0462,Order of the Court (Sixth Chamber) of 28 April 2016,Sixth Chamber,Verners Pudāns v Valsts ieņēmumu dienests&xd; ,Request for a preliminary ruling from the Augstākā tiesa,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court — Common Agricultural Policy — Regulation (EC) No 73/2009 — Direct support schemes — Article 29(1) — Obligation to make payments in full to the beneficiaries — Income tax,Case C-462/15,ECLI identifier: ECLI:EU:C:2016:317,31/08/2015,28/04/2016,Latvia,Regan,Kokott,AGRI
62015CO0227,Order of the Court (Third Chamber) of 21 April 2016,Third Chamber,Jean-Marie Cahier and Others v Council of the European Union and European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-227/15 P,ECLI identifier: ECLI:EU:C:2016:300,19/05/2015,21/04/2016,France,Bay Larsen,Campos Sánchez-Bordona,AGRI
62015CO0152,Order of the Court (Tenth Chamber) of 23 October 2015,Tenth Chamber,  Cruz & Companhia Lda v Instituto de Financiamento da Agricultura e Pescas IP (IFAP) and Caixa Central - Caixa Central de Crédito Agrícola Mútuo CRL,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-152/15,ECLI identifier: ECLI:EU:C:2015:740,30/03/2015,23/10/2015,Portugal,Vajda,Mengozzi,AGRI
62014CO0519,Order of the Court (Seventh Chamber) of 6 October 2015,Seventh Chamber,Schutzgemeinschaft Milch und Milcherzeugnisse e,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-519/14 P,ECLI identifier: ECLI:EU:C:2015:702,14/11/2014,06/10/2015,Germany,Lycourgos,Kokott,AGRI
62014CO0517,Order of the Court (Seventh Chamber) of 6 October 2015,Seventh Chamber,Schutzgemeinschaft Milch und Milcherzeugnisse e,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-517/14 P,ECLI identifier: ECLI:EU:C:2015:700,14/11/2014,06/10/2015,Germany,Lycourgos,Kokott,AGRI
62014CO0164,Order of the Court (Ninth Chamber) of 24 February 2015,Ninth Chamber,  Pesquerias Riveirenses SL and Others v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-164/14 P,ECLI identifier: ECLI:EU:C:2015:111,04/04/2014,24/02/2015,Spain,Malenovský,Szpunar,AGRI
62014CO0070,Order of the Court (Sixth Chamber) of 11 December 2014,Sixth Chamber,  Agrocaramulo - Empreendimentos Agro-Pecuários do Caramulo SA v Instituto de Financiamento da Agricultura e Pescas IP (IFAP),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-70/14,ECLI identifier: ECLI:EU:C:2014:2444,10/02/2014,11/12/2014,Portugal,Berger,Szpunar,AGRI
62013CO0304,Order of the Court (Sixth Chamber) of 4 December 2014,Sixth Chamber,Agenţia de Plăţi şi Intervenţie pentru Agricultură (APIA) – Centrul Judeţean Timiş v Curtea de Conturi a României and Camera de Conturi a Judeţului Timiş,Reference for a preliminary ruling from Curtea de Apel Timişoara,Agriculture — Common agricultural policy — Regulation (EC) No 1782/2003 — Direct support schemes — Conditions for the granting of the complementary national direct payments — Condition not provided for by EU legislation — Condition relating to the absence of debt falling due to the State budget and/or local budget on the date of submission of the application for aid — Not permissible,Case C‑304/13,ECLI identifier: ECLI:EU:C:2014:2422,03/06/2013,04/12/2014,Romania,Borg Barthet,Bot,AGRI
62013CO0071,Order of the Court (Ninth Chamber) of 15 July 2014,Ninth Chamber,  Hellenic Republic v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-71/13 P,ECLI identifier: ECLI:EU:C:2014:2119,11/02/2013,15/07/2014,Greece,Prechal,Mengozzi,AGRI
62013CO0643,Order of the Court (Sixth Chamber) of 17 July 2014,Sixth Chamber,  Melkveebedrijf Overenk BV and Others v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-643/13 P,ECLI identifier: ECLI:EU:C:2014:2118,26/11/2013,17/07/2014,Netherlands,Biltgen,Szpunar,AGRI
62012CO0552,Order of the Court (Ninth Chamber) of 19 June 2014,Ninth Chamber,  Hellenic Republic v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-552/12 P,ECLI identifier: ECLI:EU:C:2014:2020,03/12/2012,19/06/2014,Greece,Prechal,Sharpston,AGRI
62012CO0248,Order of the Court (Seventh Chamber) of 6 March 2014,Seventh Chamber,  Northern Ireland Department of Agriculture and Rural Development v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-248/12 P,ECLI identifier: ECLI:EU:C:2014:137,21/05/2012,06/03/2014,United Kingdom,da Cruz Vilaça,Jääskinen,AGRI
62013CO0024,Order of the Court (Ninth Chamber) of 16 January 2014,Ninth Chamber,  Dél-Zempléni Nektár Leader Nonprofit kft,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-24/13,ECLI identifier: ECLI:EU:C:2014:40,21/01/2013,16/01/2014,Hungary,Prechal,Cruz Villalón,AGRI
62013CO0167,Order of the Court (Eighth Chamber) of 28 November 2013,Eighth Chamber,  Disciplinary proceedings - Jean Devillers,  Reference for a preliminary ruling: Conseil régional d'expression française de l'ordre des médecins vétérinaires - Belgium,  Reference for a preliminary ruling - Article 53(2) of the Rules of Procedure of the Court of Justice - Conseil régional d'expression française de l'ordre des médecins vétérinaires - Concept of ‘court or tribunal of a Member State’ within the meaning of Article 267 TFEU - Lack of jurisdiction of the Court,  Case C-167/13,ECLI identifier: ECLI:EU:C:2013:804,27/03/2013,28/11/2013,Belgium,Fernlund,Bot,AGRI
62009CO0038,Order of the Court (Eighth Chamber) of 10 October 2013,Eighth Chamber,Community Plant Variety Office v Ralf Schräder,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑38/09 P-DEP,ECLI identifier: ECLI:EU:C:2013:679,07/02/2013,10/10/2013,Germany,,Jääskinen,AGRI
62013CO0082,Order of the Court (Sixth Chamber) of 7 October 2013,Sixth Chamber,  Società cooperativa Madonna dei miracoli v Regione Abruzzo and Ministero delle Politiche Agricole e Forestali,  Reference for a preliminary ruling: Consiglio di Stato - Italy,  Request for a preliminary ruling - Common agricultural policy - Joint actions - Non-payment of financial aid by the Commission - Withdrawal by a Member State of its contribution - Question of fact - Internal situation - Manifest lack of jurisdiction of the Court - Description of the factual context - Insufficiency - Hypothetical question - Manifest inadmissibility,  Case C-82/13,ECLI identifier: ECLI:EU:C:2013:655,19/02/2013,07/10/2013,Italy,Berger,Bot,AGRI
62011CO0584,Order of the Court (Fifth Chamber) of 7 May 2013,Fifth Chamber,  Dow AgroSciences Ltd and Others v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-584/11 P,ECLI identifier: ECLI:EU:C:2013:281,21/11/2011,07/05/2013,United Kingdom,Berger,Sharpston,AGRI
62012CO0542,Order of the Court (Ninth Chamber) of 8 May 2013,Ninth Chamber,  Criminal proceedings against Giorgio Fidenato,  Reference for a preliminary ruling: Tribunale di Pordenone - Italy,  Article 99 of the Rules of Procedure - Directive 2002/53/EC - Common catalogue of varieties of agricultural plant species - Genetically modified organisms (GMOs) entered in the common catalogue - Regulation (EC) No 1829/2003 - Article 20 - Existing products - Directive 2001/18/EC - Article 26a - Measures to avoid the accidental presence of genetically modified organisms,  Case C-542/12,ECLI identifier: ECLI:EU:C:2013:298,28/11/2012,08/05/2013,Italy,Prechal,Bot,AGRI
62012CO0154,Order of the Court (Ninth Chamber) of 21 February 2013,Ninth Chamber,  Isera & Scaldis Sugar SA and Others v Bureau d'intervention et de restitution belge,  Reference for a preliminary ruling: Tribunal de première instance de Bruxelles - Belgium,  Article 99 of the Rules of Procedure - Agriculture - Common organisation of markets - Sugar - Regulation (EC) No 318/2006 - Article 16 - Regulation (EC) No 1234/2007 - Article 51 - Imposition of a charge on production - Validity - Lack of legal basis - Failure to state clear and unequivocal reasons - Infringement of the principle of non-discrimination - Infringement of the principle of proportionality,  Case C-154/12,ECLI identifier: ECLI:EU:C:2013:101,29/03/2012,21/02/2013,Belgium,Prechal,Mengozzi,AGRI
62011CO0650,Order of the Court (Tenth Chamber) of 10 January 2013,Tenth Chamber,  Ilgvars Brunovskis v Lauku atbalsta dienests,  Reference for a preliminary ruling: Augstākās tiesas Senāts - Latvia,  Common agricultural policy - Regulation (EC) No 1782/2003 - Implementation of support schemes in the new Member States - Complementary national direct payments - Conditions for grant - Regulation (EC) No 1973/2004 - Inapplicable,  Case C-650/11,ECLI identifier: ECLI:EU:C:2013:7,19/12/2011,10/01/2013,Latvia,Šváby,Wahl,AGRI
62011CO0593,Order of the Court (Sixth Chamber) of 13 December 2012,Sixth Chamber,Alliance One International; Inc, v European Commission,Appeal — Competition — Agreements; decisions or concerted practices — Italian market for the purchase and first processing of raw tobacco — Price-fixing and market-sharing — Attributability of unlawful conduct of subsidiaries to their parent companies — Presumption of innocence — Rights of defence — Obligation to state reasons,Case C‑593/11 P,ECLI identifier: ECLI:EU:C:2012:804,23/11/2011,13/12/2012,,Arabadjiev,Trstenjak,AGRI
62012CO0318,Order of the Court (Eighth Chamber) of 22 November 2012,Eighth Chamber,Reference for a preliminary ruling — Conseil régional d'expression française de l’ordre des médecins vétérinaires (Belgium) — Interpretation of Articles 3 and 8 of Council Regulation (EC) No 1/2005 of 22 December 2004 on the protection of animals during transport and related operations and amending Directives 64/432/EEC and 93/119/EC and Regulation (EC) No 1255/97 (OJ 2005 L 3; p, 1) — Question referred for a preliminary ruling by a professional association — Concept of court within the meaning of Article 267 TFEU — Jurisdiction of the Court — Insufficient as to facts and law — Admissibility of the question,Reference for a preliminary ruling — Failure to set out the factual and legal context of the main proceedings — Manifest inadmissibility,Case C‑318/12,ECLI identifier: ECLI:EU:C:2012:749,28/06/2012,22/11/2012,Belgium,Fernlund,Bot,AGRI
62011CO0491,Order of the Court (Fifth Chamber) of 27 June 2012,Fifth Chamber,Fuchshuber Agrarhandel GmbH v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-491/11 P,ECLI identifier: ECLI:EU:C:2012:390,22/09/2011,27/06/2012,Austria,Borg Barthet,Sharpston,AGRI
62010CO0519,Order of the Court (Seventh Chamber) of 18 November 2011,Seventh Chamber,  Giovanni Colapietro v Ispettorato Centrale Repressioni Frodi,  Reference for a preliminary ruling: Tribunale di Bari - Italy,  Reference for a preliminary ruling - Articles 92(1); 103(1) and the second subparagraph of 104(3) of the Rules of Procedure - Wine sector - Regulation (EEC) No 822/87 and Regulation (EC) No 343/94 - Answer to the question admitting of no reasonable doubt - Manifest inadmissibility,  Case C-519/10,ECLI identifier: ECLI:EU:C:2011:758,27/10/2010,18/11/2011,Italy,Šváby,Cruz Villalón,AGRI
62009CO0535,Order of the Court (Eighth Chamber) of 23 March 2011,Eighth Chamber,Republic of Estonia v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-535/09 P,ECLI identifier: ECLI:EU:C:2011:171,15/12/2009,23/03/2011,Estonia,Prechal,Trstenjak,AGRI
62007CO0309,Order of the Court (Fifth Chamber) of 17 March 2011,Fifth Chamber,Baumann GmbH,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-309/07 INT,ECLI identifier: ECLI:EU:C:2011:152,07/10/2010,17/03/2011,Germany,Kasel,Jääskinen,AGRI
62009CO0451,Order of the Court (Eighth Chamber) of 12 May 2010,Eighth Chamber,  Pigasos Alieftiki Naftiki Etaireia v Council of the European Union and European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-451/09 P,ECLI identifier: ECLI:EU:C:2010:268,16/11/2009,12/05/2010,Greece,Timmermans,Sharpston,AGRI
62008CO0517,Order of the Court (Second Chamber) of 15 April 2010,Second Chamber,  Makhteshim-Agan Holding BV and Others v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-517/08 P,ECLI identifier: ECLI:EU:C:2010:190,19/11/2008,15/04/2010,Greece; Germany; Netherlands; Spain,Lindh,Trstenjak,AGRI
61998CO0064,Order of the Court (Second Chamber) of 20 May 2010,Second Chamber,  Odette Nicos Petrides Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-64/98 P-REV,ECLI identifier: ECLI:EU:C:2010:279,05/09/2009,20/05/2010,Greece,Cunha Rodrigues,Sharpston,AGRI
62009CO0039,Order of the Court (Seventh Chamber) of 22 March 2010,Seventh Chamber,  Société des plantations de Mbanga SA (SPM) v Council of the European Union and European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-39/09 P,ECLI identifier: ECLI:EU:C:2010:157,26/01/2009,22/03/2010,Cameroon; Provisional data,von Danwitz,Sharpston,AGRI
62009CO0069,Order of the Court (Fifth Chamber) of 22 January 2010,Fifth Chamber,  Makhteshim-Agan Holding BV; Makhteshim-Agan Italia Srl and Magan Italia Srl v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-69/09 P,ECLI identifier: ECLI:EU:C:2010:37,06/02/2009,22/01/2010,Italy; Netherlands,Levits,Trstenjak,AGRI
62008CO0444,Order of the Court (Seventh Chamber) of 26 November 2009,Seventh Chamber,  Região autónoma dos Açores v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-444/08,ECLI identifier: ECLI:EU:C:2009:733,07/10/2008,26/11/2009,Portugal,von Danwitz,Sharpston,AGRI
62005CO0326(01),Order of the Court (Third Chamber) of 3 September 2009,Third Chamber,  Industrias Químicas del Vallés; SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-326/05 P-DEP,ECLI identifier: ECLI:EU:C:2009:497,31/07/2008,03/09/2009,Spain,Tizzano,Ruiz-Jarabo Colomer,AGRI
62008CO0355,Order of the Court (Eighth Chamber) of 5 May 2009,Eighth Chamber,  WWF-UK Ltd v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-355/08 P,ECLI identifier: ECLI:EU:C:2009:286,28/07/2008,05/05/2009,United Kingdom,von Danwitz,Sharpston,AGRI
62008CO0372,Order of the Court (Eighth Chamber) of 5 May 2009,Eighth Chamber,  Atlantic Dawn Ltd and Others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-372/08 P,ECLI identifier: ECLI:EU:C:2009:287,14/08/2008,05/05/2009,Ireland,von Danwitz,Sharpston,AGRI
62008CO0060,Order of the President of the Court of 24 March 2009,,  Cheminova A/S and Others v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-60/08 P(R),ECLI identifier: ECLI:EU:C:2009:181,13/02/2008,24/03/2009,Italy; Denmark; France; Bulgaria; Spain,Skouris,Trstenjak,AGRI
62007CO0175,Order of the Court (Sixth Chamber) of 6 October 2008,Sixth Chamber,SA des sucreries de Fontaine-le-Dun-Bolbec-Auffay (SAFBA) and Others v Directeur général des douanes et droits indirects and Receveur principal des douanes et droits indirects de Gennevilliers,Reference for a preliminary ruling: Tribunal de grande instance de Nanterre - France,Article 104(3) of the Rules of Procedure - Sugar - Production levies - Detailed rules for the application of the quota system - Taking into account of the quantities of sugar contained in processed products - Determination of the exportable surplus - Determination of the average loss,Joined cases C-175/07 to C-184/07,ECLI identifier: ECLI:EU:C:2008:543,02/04/2007,06/10/2008,France,Bay Larsen,Sharpston,AGRI
62006CO0200,Order of the Court (Sixth Chamber) of 6 October 2008,Sixth Chamber,Raffinerie Tirlemontoise SA v Bureau d’intervention et de restitution belge (BIRB),Reference for a preliminary ruling: Tribunal de première instance de Bruxelles - Belgium,Article 104(3) of the Rules of Procedure - Sugar - Production levies - Detailed rules for the application of the quota system - Taking into account of the quantities of sugar contained in the processed products - Calculation of the exportable surplus - Calculation of the average loss,Case C-200/06,ECLI identifier: ECLI:EU:C:2008:541,04/05/2006,06/10/2008,Belgium,Bay Larsen,Sharpston,AGRI
62006CO0466,Order of the Court (Sixth Chamber) of 6 October 2008,Sixth Chamber,Société Roquette Frères SA v Direction générale des douanes et droits indirects and Recette principale de Gennevilliers de la direction générale des douanes et droits indirects,Reference for a preliminary ruling: Tribunal de grande instance de Nanterre - France,Article 104(3) of the Rules of Procedure - Common organisation of the markets in the sugar sector - Isoglucose - Setting of basic quantities for the allocation of production quotas - Isoglucose produced as an intermediate product - Article 24(2) of Regulation (EEC) No 1785/81 - Article 27(3) of Regulation (EC) No 2038/1999 - Article 1 of Regulation (EC) No 2073/2000 -Article 11(2) of Regulation (EC) N0 1260/2001 - Article 1 of Regulation (EC) No 1745/2002 - Article 1 of Regulation (EC) No 1739/2003 - Production levies - Detailed rules for the application of the quota system - Account taken of the quantities of sugar in processed products - Determination of the exportable surplus - Determination of average loss,Case C-466/06,ECLI identifier: ECLI:EU:C:2008:542,21/11/2006,06/10/2008,France,Bay Larsen,Sharpston,AGRI
62008CO0207,Order of the Court (Sixth Chamber) of 11 July 2008,Sixth Chamber,  Criminal proceedings against Edgar Babanov,  Reference for a preliminary ruling: Panevėžio apygardos teismas - Lithuania,  Article 104(3) of the Rules of Procedure; first subparagraph - Agriculture - Free movement of goods - National legislation prohibiting the cultivation of any type of hemp,  Case C-207/08,ECLI identifier: ECLI:EU:C:2008:407,20/05/2008,11/07/2008,Lithuania,Makarczyk,Poiares Maduro,AGRI
62007CO0109,Order of the Court (First Chamber) of 14 May 2008,First Chamber,  Jonathan Pilato v Jean-Claude Bourgault,  Reference for a preliminary ruling: Prud’homie de pêche de Martigues - France,  Meaning of court or tribunal of a Member State - Lack of jurisdiction of the Court of Justice,  Case C-109/07,ECLI identifier: ECLI:EU:C:2008:274,20/02/2007,14/05/2008,France,Tizzano,Trstenjak,AGRI
62007CO0023,Order of the Court (Second Chamber) of 12 June 2008,Second Chamber,Confcooperative Friuli Venezia Giulia and Others v Ministero delle Politiche agricole; alimentari e forestali and Regione Friuli-Venezia Giulia,Reference for a preliminary ruling: Tribunale amministrativo regionale del Lazio - Italy,Agriculture - Regulations (EC) Nos 1493/1999; 753/2002 and 1429/2004 - Common organisation of the market in wine - Labelling of wines - Use of names of vine varieties or synonyms thereof - Geographical indication 'Tokaj' for wines originating in Hungary - Possible use of vine variety name 'Tocai friulano' or 'Tocai italico' in addition to the geographical indication of certain wines originating in Italy - Exclusion after a transitional period of thirteen years expiring on 31 March 2007 - Validity - Legal basis - Article 34 EC - Principle of non-discrimination - Principles of international law on treaties - Accession of Hungary to the European Union - Articles 22 to 24 of the TRIPs Agreement,Joined cases C-23/07 and C-24/07,ECLI identifier: ECLI:EU:C:2008:341,25/01/2007,12/06/2008,Italy,Timmermans,Sharpston,AGRI
62007CO0479,Order of the President of the Court of 28 February 2008,,  French Republic v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-479/07 R,ECLI identifier: ECLI:EU:C:2008:137,05/10/2007,28/02/2008,France,Lindh,Trstenjak,AGRI
62007CO0236,Order of the President of the Court of 23 January 2008,,  Sumitomo Chemical Agro Europe SAS v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-236/07 P(R),ECLI identifier: ECLI:EU:C:2008:31,07/05/2007,23/01/2008,France,Skouris,Poiares Maduro,AGRI
62006CO0421,Order of the Court (Third Chamber) of 8 November 2007,Third Chamber,  Fratelli Martini & C,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-421/06,ECLI identifier: ECLI:EU:C:2007:662,16/10/2006,08/11/2007,Italy,Rosas,Bot,AGRI
62007CO0100,Order of the Court (Third Chamber) of 4 October 2007,Third Chamber,  É,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-100/07 P,ECLI identifier: ECLI:EU:C:2007:585,19/02/2007,04/10/2007,France,Rosas,Mengozzi,AGRI
62007CO0099,Order of the Court (Sixth Chamber) of 23 May 2007,Sixth Chamber,  Smanor SA; Hubert Ségaud and Monique Ségaud v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-99/07 P,ECLI identifier: ECLI:EU:C:2007:295,13/02/2007,23/05/2007,France,Toader,Mengozzi,AGRI
62006CO0459,Order of the President of the Court of 3 April 2007,,  Vischim Srl v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-459/06 P(R),ECLI identifier: ECLI:EU:C:2007:209,13/11/2006,03/04/2007,Italy,,Kokott,AGRI
62005CO0162,Order of the Court (Sixth Chamber) of 12 January 2006,Sixth Chamber,  Entorn; Societat Limitada Enginyeria i Serveis v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-162/05 P,ECLI identifier: ECLI:EU:C:2006:37,31/03/2005,12/01/2006,Spain,Malenovský,Stix-Hackl,AGRI
