source,subject
62016CO0134(01),Agriculture and Fisheries
62016CO0134(01),Plant health legislation
62015CO0462,General provisions
62015CO0462,Agriculture and Fisheries
62015CO0227,Provisions governing the Institutions
62015CO0227,Wine
62015CO0227,Agriculture and Fisheries
62015CO0152,Agriculture and Fisheries
62014CO0519,Agriculture and Fisheries
62014CO0517,Agriculture and Fisheries
62014CO0164,Fisheries policy
62014CO0164,Agriculture and Fisheries
62014CO0070,Agriculture and Fisheries
62013CO0304,Agriculture and Fisheries
62013CO0071,Agriculture and Fisheries
62013CO0071,European Agricultural Guidance and Guarantee Fund (EAGGF)
62013CO0643,Provisions governing the Institutions
62013CO0643,Agriculture and Fisheries
62012CO0552,Agriculture and Fisheries
62012CO0552,European Agricultural Guidance and Guarantee Fund (EAGGF)
62012CO0248,European Agricultural Guidance and Guarantee Fund (EAGGF)
62012CO0248,Agriculture and Fisheries
62013CO0024,Agriculture and Fisheries
62013CO0167,Agriculture and Fisheries
62009CO0038,Intellectual; industrial and commercial property
62009CO0038,Agriculture and Fisheries
62009CO0038,Procedural provisions
62013CO0082,Agriculture and Fisheries
62013CO0082,European Agricultural Guidance and Guarantee Fund (EAGGF)
62011CO0584,Plant health legislation
62011CO0584,Approximation of laws
62011CO0584,Agriculture and Fisheries
62012CO0542,Environment
62012CO0542,public health
62012CO0542,Animal feedingstuffs
62012CO0542,Agriculture and Fisheries
62012CO0542,Approximation of laws
62012CO0154,Sugar
62012CO0154,Agriculture and Fisheries
62011CO0650,Agriculture and Fisheries
62011CO0650,Monetary measures in the field of agriculture
62011CO0593,Agreements; decisions and concerted practices
62011CO0593,Tobacco
62011CO0593,Competition
62011CO0593,Agriculture and Fisheries
62012CO0318,Agriculture and Fisheries
62011CO0491,Cereals
62011CO0491,Agriculture and Fisheries
62010CO0519,Principles; objectives and tasks of the Treaties
62010CO0519,Agriculture and Fisheries
62009CO0535,Sugar
62009CO0535,Agriculture and Fisheries
62007CO0309,Agriculture and Fisheries
62007CO0309,Veterinary legislation
62009CO0451,Agriculture and Fisheries
62009CO0451,Fisheries policy
62008CO0517,Agriculture and Fisheries
62008CO0517,Approximation of laws
62008CO0517,Environment
62008CO0517,Plant health legislation
61998CO0064,Tobacco
61998CO0064,Agriculture and Fisheries
62009CO0039,Agriculture and Fisheries
62009CO0039,Bananas
62009CO0069,Agriculture and Fisheries
62009CO0069,Plant health legislation
62008CO0444,Agriculture and Fisheries
62008CO0444,Fisheries policy
62005CO0326(01),Plant health legislation
62005CO0326(01),Agriculture and Fisheries
62008CO0355,Agriculture and Fisheries
62008CO0355,Fisheries policy
62008CO0372,Fisheries policy
62008CO0372,Agriculture and Fisheries
62008CO0060,Agriculture and Fisheries
62008CO0060,Plant health legislation
62007CO0175,Agriculture and Fisheries
62007CO0175,Sugar
62006CO0200,Agriculture and Fisheries
62006CO0200,Sugar
62006CO0466,Agriculture and Fisheries
62006CO0466,Sugar
62008CO0207,Free movement of goods
62008CO0207,Flax and hemp
62008CO0207,Agriculture and Fisheries
62008CO0207,General provisions
62007CO0109,Agriculture and Fisheries
62007CO0109,Fisheries policy
62007CO0023,Wine
62007CO0023,Agriculture and Fisheries
62007CO0023,Accession
62007CO0479,Fisheries policy
62007CO0479,Agriculture and Fisheries
62007CO0236,Plant health legislation
62007CO0236,Agriculture and Fisheries
62006CO0421,Agriculture and Fisheries
62006CO0421,Animal feedingstuffs
62007CO0100,Non-contractual liability
62007CO0100,Veterinary legislation
62007CO0100,Beef and veal
62007CO0100,Agriculture and Fisheries
62007CO0100,public health
62007CO0099,Free movement of goods
62007CO0099,Quantitative restrictions
62007CO0099,Foodstuffs
62007CO0099,Measures having equivalent effect
62007CO0099,Agriculture and Fisheries
62007CO0099,Approximation of laws
62006CO0459,Agriculture and Fisheries
62006CO0459,Environment
62006CO0459,Plant health legislation
62005CO0162,Agriculture and Fisheries
62005CO0162,European Agricultural Guidance and Guarantee Fund (EAGGF)
62005CO0418,Oils and fats
62005CO0418,Agriculture and Fisheries
62003CO0261,Milk products
62003CO0261,Agriculture and Fisheries
62002CO0446,Agriculture and Fisheries
62002CO0446,Free movement of goods
62002CO0446,Pigmeat
62002CO0446,Monetary measures in the field of agriculture
62002CO0446,Customs Union
62002CO0381,Agriculture and Fisheries
62002CO0381,Fruit and vegetables
61989CO0104,Agriculture and Fisheries
61989CO0104,Milk products
61989CO0104,Non-contractual liability
62003CO0069,Milk products
62003CO0069,Agriculture and Fisheries
62003CO0365,Agriculture and Fisheries
62003CO0365,Plant health legislation
62002CO0258,Plant health legislation
62002CO0258,Approximation of laws
62002CO0258,Agriculture and Fisheries
62002CO0082,Monetary measures in the field of agriculture
62002CO0082,Cereals
62002CO0082,Agriculture and Fisheries
62001CO0151,Agriculture and Fisheries
61999CO0208,European Agricultural Guidance and Guarantee Fund (EAGGF)
61999CO0208,Agriculture and Fisheries
62000CO0430,Agriculture and Fisheries
62000CO0430,Bananas
62000CO0430,External relations
62000CO0430,Fruit and vegetables
62000CO0430,Commercial policy
62000CO0030,Agriculture and Fisheries
62000CO0030,Sugar
62000CO0030,Free movement of goods
62000CO0030,Accession
62000CO0030,Customs Union
61999CO0351,Agriculture and Fisheries
61999CO0351,Sugar
61999CO0352,Sugar
61999CO0352,Agriculture and Fisheries
62000CO0345,Agriculture and Fisheries
62000CO0345,Consumer protection
61999CO0307,Agriculture and Fisheries
61999CO0307,General Agreement on Tariffs and Trade (GATT)
61999CO0307,Commercial policy
61999CO0307,Fruit and vegetables
61999CO0307,External relations
61999CO0307,Bananas
61999CO0300,Agriculture and Fisheries
61999CO0300,Fisheries policy
61999CO0301,Agriculture and Fisheries
61999CO0301,Fisheries policy
61998CO0447,Agriculture and Fisheries
61998CO0447,Consumer protection
62000CO0300,Agriculture and Fisheries
62000CO0300,Fisheries policy
61997CO0341,Free movement of goods
61997CO0341,Fisheries policy
61997CO0341,Agriculture and Fisheries
61999CO0514,Agriculture and Fisheries
61999CO0514,Beef and veal
61999CO0514,Veterinary legislation
61998CO0017,Sugar
61998CO0017,Agriculture and Fisheries
61998CO0017,External relations
61998CO0017,Association Agreement
61998CO0295,European Agricultural Guidance and Guarantee Fund (EAGGF)
61998CO0295,Agriculture and Fisheries
61999CO0249,Fisheries policy
61999CO0249,Agriculture and Fisheries
61999CO0329,Animal feedingstuffs
61999CO0329,Agriculture and Fisheries
61998CO0437,Veterinary legislation
61998CO0437,Agriculture and Fisheries
61996CO0409(01),Monetary measures in the field of agriculture
61996CO0409(01),Sugar
61996CO0409(01),Agriculture and Fisheries
61998CO0364,Sugar
61998CO0364,Agriculture and Fisheries
61998CO0364,External relations
61998CO0364,Overseas countries and territories
61998CO0364,Association Agreement
61998CO0363,Overseas countries and territories
61998CO0363,Agriculture and Fisheries
61998CO0363,Sugar
61998CO0363,External relations
61998CO0363,Association Agreement
61998CO0151,Agriculture and Fisheries
61998CO0151,Veterinary legislation
61997CO0317(02),Quantitative restrictions
61997CO0317(02),Foodstuffs
61997CO0317(02),Agriculture and Fisheries
61997CO0317(02),Approximation of laws
61997CO0317(02),Measures having equivalent effect
61997CO0317(02),Free movement of goods
61998CO0043,Bananas
61998CO0043,External relations
61998CO0043,Fruit and vegetables
61998CO0043,Commercial policy
61998CO0043,Agriculture and Fisheries
61996CO0409,Agriculture and Fisheries
61996CO0409,Sugar
61996CO0409,Monetary measures in the field of agriculture
61997CO0180,Agriculture and Fisheries
61997CO0180,European Agricultural Guidance and Guarantee Fund (EAGGF)
61997CO0110,External relations
61997CO0110,Association Agreement
61997CO0110,Rice
61997CO0110,Overseas countries and territories
61997CO0110,Agriculture and Fisheries
61995CO0051,Agriculture and Fisheries
61995CO0051,External relations
61995CO0051,Commercial policy
61995CO0051,Fruit and vegetables
61996CO0393,Agriculture and Fisheries
61996CO0393,Milk products
61995CO0293,Agriculture and Fisheries
61995CO0293,External relations
61995CO0293,Fisheries policy
61996CO0180,Agriculture and Fisheries
61996CO0180,Beef and veal
61996CO0180,Veterinary legislation
61995CO0010,Agriculture and Fisheries
61995CO0010,Veterinary legislation
61994CO0199,Fisheries policy
61994CO0199,Agriculture and Fisheries
61995CO0012,Fisheries policy
61995CO0012,Agriculture and Fisheries
61991CO0249,Agriculture and Fisheries
61993CO0107(01),Agriculture and Fisheries
61993CO0107(01),Customs Union
61993CO0107(01),Accession
61993CO0107(01),Free movement of goods
61993CO0107(01),Oils and fats
61993CO0296,Beef and veal
61993CO0296,Agriculture and Fisheries
61993CO0307,Agriculture and Fisheries
61993CO0307,Beef and veal
61993CO0107,Accession
61993CO0107,Free movement of goods
61993CO0107,Oils and fats
61993CO0107,Customs Union
61993CO0107,Agriculture and Fisheries
61993CO0064(01),Tobacco
61993CO0064(01),Agriculture and Fisheries
61993CO0257(01),Agriculture and Fisheries
61993CO0257(01),Commercial policy
61993CO0257(01),Fruit and vegetables
61993CO0257(01),External relations
61993CO0257(01),Bananas
61993CO0280,Fruit and vegetables
61993CO0280,External relations
61993CO0280,Agriculture and Fisheries
61993CO0280,Bananas
61993CO0280,Commercial policy
61993CO0064,Tobacco
61993CO0064,Agriculture and Fisheries
61993CO0276,Agriculture and Fisheries
61993CO0276,Bananas
61993CO0276,External relations
61993CO0276,Commercial policy
61993CO0276,Fruit and vegetables
61993CO0257,Bananas
61993CO0257,External relations
61993CO0257,Commercial policy
61993CO0257,Fruit and vegetables
61993CO0257,Agriculture and Fisheries
61992CO0131,Fisheries policy
61992CO0131,Agriculture and Fisheries
61992CO0040,Agriculture and Fisheries
61992CO0040,Milk products
61991CO0059,Cereals
61991CO0059,Sugar
61991CO0059,Agriculture and Fisheries
61991CO0059,European Agricultural Guidance and Guarantee Fund (EAGGF)
61988CO0152(01),Fruit and vegetables
61988CO0152(01),Agriculture and Fisheries
61991CO0232,Tobacco
61991CO0232,Agreements; decisions and concerted practices
61991CO0232,Dominant position
61991CO0232,Agriculture and Fisheries
61991CO0232,Competition
61991CO0213,Fruit and vegetables
61991CO0213,Agriculture and Fisheries
61990CO0250,External relations
61990CO0250,public procurement in the European Union
61990CO0250,Agriculture and Fisheries
61990CO0250,Food aid
61990CO0050,Agriculture and Fisheries
61990CO0050,Fruit and vegetables
61990CO0050,Plant health legislation
61991CO0066,Beef and veal
61991CO0066,Agriculture and Fisheries
61990CO0358,Agriculture and Fisheries
61990CO0358,Wine
61990CO0106,Beef and veal
61990CO0106,Agriculture and Fisheries
61989CO0385,Agriculture and Fisheries
61989CO0385,European Agricultural Guidance and Guarantee Fund (EAGGF)
61989CO0246,Agriculture and Fisheries
61989CO0246,Fisheries policy
61989CO0246,Right of establishment
61988CO0151,Agriculture and Fisheries
61988CO0151,Oils and fats
61989CO0032,European Agricultural Guidance and Guarantee Fund (EAGGF)
61989CO0032,Agriculture and Fisheries
61987CO0167,Fisheries policy
61987CO0167,Agriculture and Fisheries
61988CO0138,Agriculture and Fisheries
61988CO0138,Approximation of laws
61988CO0138,Veterinary legislation
61988CO0160(01),Veterinary legislation
61988CO0160(01),Agriculture and Fisheries
61988CO0160(01),Approximation of laws
61988CO0034,Veterinary legislation
61988CO0034,Agriculture and Fisheries
61988CO0034,Approximation of laws
61988CO0229,Agriculture and Fisheries
61988CO0229,Oils and fats
61988CO0160,Veterinary legislation
61988CO0160,Approximation of laws
61988CO0160,Agriculture and Fisheries
61988CO0152,Agriculture and Fisheries
61988CO0152,Fruit and vegetables
61986CO0242,Agriculture and Fisheries
61986CO0242,Milk products
61986CO0242,European Agricultural Guidance and Guarantee Fund (EAGGF)
61987CO0191,Agriculture and Fisheries
61987CO0191,Beef and veal
61987CO0376,Agriculture and Fisheries
61987CO0376,Approximation of laws
61987CO0376,Veterinary legislation
61986CO0233,Cereals
61986CO0233,Animal feedingstuffs
61986CO0233,Agriculture and Fisheries
61987CO0065,Agriculture and Fisheries
61987CO0065,Approximation of laws
61987CO0065,Animal feedingstuffs
61980CO0256,Non-contractual liability
61980CO0256,Agriculture and Fisheries
61980CO0256,Cereals
61986CO0117(01),Wine
61986CO0117(01),Agriculture and Fisheries
61986CO0117(01),Accession
61986CO0117(01),Fruit and vegetables
61986CO0117(01),Potatoes
61986CO0214(01),Cereals
61986CO0214(01),Agriculture and Fisheries
61986CO0214(01),European Agricultural Guidance and Guarantee Fund (EAGGF)
61986CO0214,Agriculture and Fisheries
61986CO0214,European Agricultural Guidance and Guarantee Fund (EAGGF)
61986CO0214,Cereals
61986CO0128,Wine
61986CO0128,Agriculture and Fisheries
61986CO0128,Accession
61986CO0117,Agriculture and Fisheries
61986CO0117,Wine
61986CO0117,Accession
61986CO0117,Fruit and vegetables
61986CO0117,Potatoes
61986CO0119,Agriculture and Fisheries
61986CO0119,Wine
61986CO0119,Potatoes
61986CO0119,Fruit and vegetables
61986CO0119,Plants and flowers
61986CO0119,Accession
61986CO0055,Agriculture and Fisheries
61986CO0055,Accession
61986CO0055,Fisheries policy
61985CO0069,Provisions governing the Institutions
61985CO0069,Protective measures
61985CO0069,Agriculture and Fisheries
61985CO0069,Fruit and vegetables
61985CO0082(01),Agriculture and Fisheries
61985CO0082(01),Cereals
61985CO0082(01),External relations
61985CO0082(01),Commercial policy
61985CO0097,Milk products
61985CO0097,Agriculture and Fisheries
61985CO0067,Agriculture and Fisheries
61985CO0067,Competition
61985CO0067,State aids
61985CO0082,Agriculture and Fisheries
61985CO0082,Cereals
61985CO0082,External relations
61985CO0082,Commercial policy
61984CO0160(02),Own resources
61984CO0160(02),Cereals
61984CO0160(02),Financial provisions
61984CO0160(02),Agriculture and Fisheries
61984CO0278,Potatoes
61984CO0278,Monetary measures in the field of agriculture
61984CO0278,Agriculture and Fisheries
61984CO0278,Sugar
61984CO0278,Cereals
61984CO0160(01),Agriculture and Fisheries
61984CO0160(01),Financial provisions
61984CO0160(01),Own resources
61984CO0160(01),Cereals
61984CO0160,Own resources
61984CO0160,Cereals
61984CO0160,Financial provisions
61984CO0160,Agriculture and Fisheries
61983CO0289,Agriculture and Fisheries
61983CO0114,Accession
61983CO0114,Potatoes
61983CO0114,Competition
61983CO0114,Protective measures
61983CO0114,Agriculture and Fisheries
61982CO0260,Agreements; decisions and concerted practices
61982CO0260,Tobacco
61982CO0260,Competition
61982CO0260,Agriculture and Fisheries
61982CO0042,Free movement of goods
61982CO0042,Quantitative restrictions
61982CO0042,Wine
61982CO0042,Agriculture and Fisheries
61982CO0042,Measures having equivalent effect
61981CO0232,Oils and fats
61981CO0232,Agriculture and Fisheries
61980CO0197,Agriculture and Fisheries
61980CO0197,Cereals
61980CO0024,Agriculture and Fisheries
61980CO0024,Sheepmeat and goatmeat
61979CO0059,Wine
61979CO0059,Agriculture and Fisheries
61979CO0060,Agriculture and Fisheries
61979CO0060,Wine
61976CO0126,Agriculture and Fisheries
61976CO0126,Monetary measures in the field of agriculture
61988CO0112,Balance of payments
61985CO0318,Balance of payments
61985CO0318,Free movement of capital
62000CO0323,State aids
62000CO0323,ECSC matters
62000CO0323,Steel industry
62001CO0180,ECSC matters
62001CO0180,Agreements and concentrations
61997CO0151,Prices
61997CO0151,Competition
61997CO0151,Fuels
61997CO0151,ECSC matters
61997CO0151,Agreements and concentrations
61997CO0089,State aids
61997CO0089,Steel industry
61997CO0089,Competition
61997CO0089,ECSC matters
61988CO0092,Steel industry
61988CO0092,Production quotas
61988CO0092,ECSC matters
61983CO0183,ECSC matters
61983CO0183,Steel industry
61983CO0183,Prices
61987CO0223,Production quotas
61987CO0223,ECSC matters
61987CO0223,Steel industry
61987CO0209,ECSC matters
61987CO0209,Production quotas
61987CO0209,Steel industry
61987CO0214,Steel industry
61987CO0214,Production quotas
61987CO0214,ECSC matters
61986CO0095,Production quotas
61986CO0095,ECSC matters
61986CO0095,Steel industry
61985CO0360,Production quotas
61985CO0360,ECSC matters
61985CO0360,Steel industry
61985CO0351,Production quotas
61985CO0351,ECSC matters
61985CO0351,Steel industry
61986CO0048,Steel industry
61986CO0048,Production quotas
61986CO0048,ECSC matters
61985CO0392,Steel industry
61985CO0392,Production quotas
61985CO0392,ECSC matters
61985CO0025,Prices
61985CO0025,Steel industry
61985CO0025,Shortage
61985CO0025,ECSC matters
61985CO0025,Commercial policy
61984CO0062,Production quotas
61984CO0062,ECSC matters
61984CO0062,Steel industry
61984CO0050,General provisions
61984CO0050,ECSC matters
61984CO0050,Steel industry
61984CO0037,Steel industry
61984CO0037,ECSC matters
61984CO0037,General provisions
61984CO0045,Production quotas
61984CO0045,ECSC matters
61984CO0045,Steel industry
61983CO0078,Steel industry
61983CO0078,Production quotas
61983CO0078,ECSC matters
61982CO0348,Steel industry
61982CO0348,Production quotas
61982CO0348,ECSC matters
61983CO0010,Production quotas
61983CO0010,ECSC matters
61983CO0010,Steel industry
61982CO0234,ECSC matters
61982CO0234,Production quotas
61982CO0234,Steel industry
61982CO0263,ECSC matters
61982CO0263,Production quotas
61982CO0263,Steel industry
61982CO0220,ECSC matters
61982CO0220,Production quotas
61982CO0220,Steel industry
61980CO0258,ECSC matters
61980CO0258,Production quotas
61980CO0258,Steel industry
61959CO0019,ECSC matters
61959CO0019,Agreements and concentrations
61957CO0018,Fuels
61957CO0018,ECSC matters
61957CO0018,Agreements and concentrations
62002CO0024,Brussels Convention of 27 September 1968 - Jurisdiction
62002CO0024,Brussels Convention of 27 September 1968
62002CO0069,Brussels Convention of 27 September 1968 - Jurisdiction
62002CO0069,Brussels Convention of 27 September 1968
61999CO0518,Brussels Convention of 27 September 1968 - Jurisdiction
61999CO0518,Brussels Convention of 27 September 1968
61984CO0056,Brussels Convention of 27 September 1968
61984CO0056,Brussels Convention of 27 September 1968 - Enforcement
61983CO0080,Brussels Convention of 27 September 1968
62010CO0205,Health and safety
61995CO0046,Euratom matters
61995CO0046,Health and safety
61990CO0308,Safety at work and elsewhere
61990CO0308,Euratom matters
62015CO0228(01),Border checks
62015CO0228(01),Citizenship of the Union
62014CO0411,Citizenship of the Union
62014CO0019,Social security for migrant workers
62014CO0019,Non-discrimination on grounds of nationality
62014CO0019,Citizenship of the Union
62014CO0019,anti-discrimination
62011CO0172,Free movement of workers
62011CO0172,Principles; objectives and tasks of the Treaties
62011CO0172,Citizenship of the Union
62013CO0014,Fundamental rights
62013CO0014,Citizenship of the Union
62013CO0014,Right of entry and residence
62011CO0114,Free movement of workers
62011CO0114,Citizenship of the Union
62009CO0345,Social security for migrant workers
62009CO0345,Citizenship of the Union
62009CO0345,Free movement of workers
62008CO0535,Citizenship of the Union
62008CO0535,Provisions governing the Institutions
62007CO0551,Citizenship of the Union
62007CO0551,Right of entry and residence
62007CO0551,Free movement of workers
62016CO0491,economic; social and territorial cohesion
62016CO0491,European Social Fund (ESF)
62016CO0491,European Regional Development Fund (ERDF)
62016CO0491,Cohesion Fund
62016CO0491,Financial provisions
62013CO0175,Provisions governing the Institutions
62013CO0175,European Social Fund (ESF)
62013CO0175,economic; social and territorial cohesion
62013CO0175,Cohesion Fund
62013CO0175,European Regional Development Fund (ERDF)
62011CO0586,economic; social and territorial cohesion
62011CO0586,European Regional Development Fund (ERDF)
62011CO0242,European Regional Development Fund (ERDF)
62011CO0242,economic; social and territorial cohesion
62011CO0627,economic; social and territorial cohesion
62011CO0627,General provisions
62011CO0497,European Regional Development Fund (ERDF)
62011CO0497,economic; social and territorial cohesion
62009CO0043,Cohesion Fund
62009CO0043,economic; social and territorial cohesion
62008CO0501,Environment
62008CO0501,Cohesion Fund
62008CO0501,economic; social and territorial cohesion
62006CO0363,Cohesion Fund
62006CO0363,Procedural provisions
62006CO0363,economic; social and territorial cohesion
61999CO0107,European Regional Development Fund (ERDF)
61999CO0107,economic; social and territorial cohesion
61997CO0239,economic; social and territorial cohesion
61997CO0239,European Regional Development Fund (ERDF)
61994CO0325,Approximation of laws
61994CO0325,economic; social and territorial cohesion
61994CO0325,POLL
61994CO0325,European Regional Development Fund (ERDF)
61994CO0325,Environment
62017CO0508,State aids
62016CO0373,State aids
62016CO0373,Competition
62016CO0323,State aids
62016CO0323,Competition
62016CO0369,State aids
62016CO0369,Competition
62017CO0204,State aids
62017CO0204,Competition
62016CO0640,State aids
62016CO0640,Competition
62015CO0556,State aids
62015CO0556,Competition
62017CO0053,State aids
62017CO0053,Competition
62016CO0595,Right of establishment
62016CO0595,Freedom to provide services
62016CO0595,Competition
62016CO0515,State aids
62016CO0515,Competition
62016CO0232,State aids
62016CO0232,Competition
62015CO0522(01),Procedural provisions
62015CO0522(01),Competition
62015CO0522(01),Agreements; decisions and concerted practices
62015CO0426,State aids
62015CO0426,Competition
62015CO0514,Competition
62015CO0514,Agreements; decisions and concerted practices
62015CO0246,State aids
62015CO0246,Competition
62015CO0510,Competition
62015CO0523,Agreements; decisions and concerted practices
62015CO0523,Competition
62015CO0608,Agreements; decisions and concerted practices
62015CO0608,Competition
62016CO0121,Competition
62015CO0293,Competition
62015CO0293,Dominant position
62015CO0669,State aids
62015CO0669,Competition
62015CO0450,Competition
62016CO0157,Procedural provisions
62016CO0157,State aids
62016CO0157,Competition
62014CO0541,State aids
62014CO0541,Competition
62014CO0563,State aids
62014CO0563,Competition
62015CO0162,Provisions governing the Institutions
62015CO0162,Competition
62015CO0162,Access to documents
62014CO0604,State aids
62014CO0604,Competition
62015CO0517,Provisions governing the Institutions
62015CO0517,Competition
62015CO0517,Access to documents
62015CO0053,Agreements; decisions and concerted practices
62015CO0053,Competition
62014CO0530,State aids
62014CO0530,Competition
62015CO0093,Competition
62015CO0093,State aids
62015CO0385,State aids
62015CO0385,Competition
62015CO0362,State aids
62015CO0362,Competition
62015CO0418,State aids
62015CO0418,Competition
62015CO0418,Procedural provisions
62015CO0410,State aids
62015CO0410,Competition
62015CO0410,Procedural provisions
62015CO0386,Agreements; decisions and concerted practices
62015CO0386,Competition
62015CO0299,Agreements; decisions and concerted practices
62015CO0299,Fundamental rights
62015CO0299,Freedom to provide services
62015CO0299,Free movement of workers
62015CO0299,Free movement of capital
62015CO0299,Competition
62014CO0291,Competition
62015CO0023,Principles; objectives and tasks of the Treaties
62015CO0023,Freedom to provide services
62015CO0023,Right of establishment
62015CO0023,Competition
62013CO0624,State aids
62013CO0624,Competition
62013CO0621,State aids
62013CO0621,Competition
62014CO0296,State aids
62014CO0296,Competition
62014CO0068,Agreements; decisions and concerted practices
62014CO0068,State aids
62014CO0068,Competition
62013CO0587,State aids
62013CO0587,Competition
62014CO0099,State aids
62014CO0099,Competition
62013CO0384,Competition
62013CO0384,Agreements; decisions and concerted practices
62014CO0202,State aids
62014CO0202,Competition
62014CO0431,Competition
62014CO0431,State aids
62013CO0275,Energy
62013CO0275,State aids
62013CO0275,Competition
62009CO0471,Procedural provisions
62009CO0471,State aids
62009CO0471,Competition
62009CO0474,State aids
62009CO0474,Competition
62009CO0474,Procedural provisions
62013CO0145,State aids
62013CO0145,Competition
62013CO0094,Competition
62013CO0094,State aids
62013CO0227,State aids
62013CO0227,Competition
62013CO0102,State aids
62013CO0102,Competition
62013CO0027,State aids
62013CO0027,Competition
62013CO0142,Exclusive agreements
62013CO0142,Competition
62013CO0142,Agreements; decisions and concerted practices
62013CO0574,State aids
62013CO0574,Competition
62013CO0181,Competition
62013CO0181,State aids
62010CO0553,Concentrations between undertakings
62010CO0553,Procedural provisions
62010CO0553,Competition
62012CO0581,Concerted practices
62012CO0581,Competition
62012CO0581,Agreements; decisions and concerted practices
62010CO0551,Concentrations between undertakings
62010CO0551,Competition
62010CO0551,Procedural provisions
62013CO0278,Competition
62012CO0616,State aids
62012CO0616,Competition
62009CO0521,Procedural provisions
62009CO0521,Concerted practices
62009CO0521,Competition
62009CO0521,Agreements; decisions and concerted practices
62012CO0034,Competition
62012CO0034,State aids
62005CO0075,Procedural provisions
62005CO0075,Competition
62005CO0075,State aids
62009CO0496,State aids
62009CO0496,Competition
62009CO0496,Provisions governing the Institutions
62009CO0496,Procedural provisions
62012CO0436,public procurement in the European Union
62012CO0436,State aids
62012CO0436,Competition
62012CO0436,Financial provisions
62012CO0368,State aids
62012CO0368,Competition
62012CO0551,Agreements; decisions and concerted practices
62012CO0551,Competition
62009CO0465,Procedural provisions
62009CO0465,State aids
62009CO0465,Competition
62012CO0117,Agreements; decisions and concerted practices
62012CO0117,Competition
62011CO0593,Agreements; decisions and concerted practices
62011CO0593,Tobacco
62011CO0593,Competition
62011CO0593,Agriculture and Fisheries
62011CO0654,Agreements; decisions and concerted practices
62011CO0654,Concerted practices
62011CO0654,Competition
62011CO0603,Competition
62011CO0603,Agreements; decisions and concerted practices
62011CO0495,Agreements; decisions and concerted practices
62011CO0495,Competition
62011CO0494,Agreements; decisions and concerted practices
62011CO0494,Competition
62011CO0493,Agreements; decisions and concerted practices
62011CO0493,Competition
62010CO0451(01),State aids
62010CO0451(01),Competition
62010CO0451(01),Procedural provisions
62011CO0389,Competition
62011CO0389,State aids
62011CO0240,Competition
62011CO0602,Competition
62011CO0590,Competition
62011CO0596,Competition
62011CO0598,Competition
62011CO0589,Competition
62011CO0600,Competition
62011CO0507,Concerted practices
62011CO0507,Competition
62011CO0507,Agreements; decisions and concerted practices
62010CO0529,Right of establishment
62010CO0529,Principles; objectives and tasks of the Treaties
62010CO0529,Competition
62010CO0529,State aids
62010CO0529,Free movement of capital
62010CO0529,Taxation
62011CO0200,Competition
62011CO0200,State aids
62011CO0167,Competition
62011CO0167,State aids
62011CO0404,Agreements; decisions and concerted practices
62011CO0404,Competition
62011CO0421,Competition
62011CO0421,Agreements; decisions and concerted practices
62010CO0446,Competition
62010CO0446,State aids
62010CO0448,Competition
62010CO0448,State aids
62011CO0161,Competition
62011CO0161,Agreements; decisions and concerted practices
62011CO0161,Social Policy
62010CO0367,Competition
62010CO0521,Competition
62010CO0451,State aids
62010CO0451,Competition
62010CO0254,Competition
62010CO0254,State aids
62010CO0073,Fundamental rights
62010CO0073,Competition
62010CO0020,Competition
